;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-06-16T18:00:00;1573.018366023243;2519.8318481472897;24831.830831271098;7573.792132704503;2519.8318481472897;6052.3009030508865;18934.480331761275;5039.6636962945795;18623.873123453322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-16T19:00:00;1335.635594423372;2502.1187444528305;21084.48181491564;6430.838047223641;2502.1187444528305;6009.756384231254;16077.09511805912;5004.237488905661;15813.36136118673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-16T20:00:00;2292.221429858355;2834.325147290208;36185.24487921711;11036.621699318004;2834.325147290208;6807.671972674291;27591.554248295033;5668.650294580416;27138.933659412836;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-16T21:00:00;2574.7927290639855;2816.7263216840997;40645.94467218;12397.150176974745;2816.7263216840997;6765.401934621238;30992.87544243688;5633.4526433681995;30484.458504134993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-16T22:00:00;2111.4673194353204;2431.8377201167505;33331.84177278741;10166.324130614505;2431.8377201167505;5840.95071278562;25415.81032653628;4863.675440233501;24998.881329590553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-16T23:00:00;1614.5841846648277;1809.0221386018864;25487.993148994392;7773.923852089912;1809.0221386018864;4345.030534934038;19434.80963022479;3618.0442772037727;19115.994861745792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T00:00:00;1027.8114457550835;1280.612123372232;16146.071597877868;4948.72177585781;1280.612123372232;3069.644348493712;12371.804439644533;2561.224246744464;12109.553698408401;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T01:00:00;2883.073164113455;1278.6555846738113;45290.70572423705;13881.463382768487;1278.6555846738113;3064.9544991251137;34703.65845692124;2557.3111693476226;33968.029293177795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T02:00:00;4449.909358878678;1189.000076081471;69904.41234066844;21425.48950571215;1189.000076081471;2850.0490486464037;53563.72376428041;2378.000152162942;52428.30925550133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T03:00:00;4698.932488538333;1263.9239991798192;73816.36068257329;22624.489759629014;1263.9239991798192;3029.642692114491;56561.22439907257;2527.8479983596385;55362.270511929964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T04:00:00;4493.843028114518;2197.5382298615436;70594.57411301401;21637.021987218053;2197.5382298615436;5267.528461412684;54092.55496804518;4395.076459723087;52945.9305847605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T05:00:00;2910.654839866897;3231.2812056977423;45723.99114185308;14014.264043803578;3231.2812056977423;7745.424168986201;35035.66010950897;6462.562411395485;34292.99335638981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T06:00:00;4895.353422296781;3455.9378844811154;76901.97183516755;23570.220181428944;3455.9378844811154;8283.929225898191;58925.55045357241;6911.875768962231;57676.478876375666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T07:00:00;5099.851846811594;3307.701305447825;80114.4737172065;24554.84222538915;3307.701305447825;7928.604167853805;61387.10556347293;6615.40261089565;60085.85528790488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T08:00:00;8721.719897177984;2972.7879164828564;137011.0388418733;41993.466171597705;2972.7879164828564;7125.812305346685;104983.66542899434;5945.575832965713;102758.27913140497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T09:00:00;9857.493902310829;2884.7436750539223;154853.11336013395;47462.00767779288;2884.7436750539223;6914.769083759763;118655.01919448226;5769.487350107845;116139.83502010047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T10:00:00;9001.279882136092;2765.8551764969425;141402.69603899593;43339.495728803406;2765.8551764969425;6629.791766244351;108348.73932200861;5531.710352993885;106052.02202924696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T11:00:00;7557.182144473688;2701.8648520074157;118717.1095309559;36386.432547465905;2701.8648520074157;6476.406104541959;90966.08136866485;5403.729704014831;89037.83214821693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T12:00:00;5896.765264116425;2707.0439250326476;92633.32739047005;28391.83275315316;2707.0439250326476;6488.820411694131;70979.58188288297;5414.087850065295;69474.99554285253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T13:00:00;5080.150649844849;2486.9908667161462;79804.98413319504;24459.98461036408;2486.9908667161462;5961.35029447296;61149.96152591026;4973.9817334322925;59853.738099896276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T14:00:00;3711.705508534746;2550.405738647313;58307.83762775905;17871.174670722852;2550.405738647313;6113.356588713997;44677.93667680716;5100.811477294626;43730.878220819286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T15:00:00;3070.4315472671983;2297.78206552769;48233.951668186026;14783.55930165688;2297.78206552769;5507.814273180278;36958.89825414223;4595.56413105538;36175.46375113951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T16:00:00;2155.3109481618962;2256.349481325839;33858.16049085371;10377.423083742462;2256.349481325839;5408.499815962903;25943.557709356177;4512.698962651678;25393.620368140284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T17:00:00;1781.9732656420792;2422.655270691604;27993.33287383655;8579.871279017421;2422.655270691604;5807.137012293756;21449.67819754357;4845.310541383208;20994.99965537741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-06-17T18:00:00;1684.4523406566916;2541.1984977135685;26461.359432979818;8110.326084643333;2541.1984977135685;6091.286709332358;20275.815211608344;5082.396995427137;19846.019574734863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
