Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486381.29222395347;5638113.53449448
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486128.4040073417;5638356.305185424
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486714.43303952675;5638264.551688887
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486058.0662375332;5638300.886163019
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486034.28435907536;5638287.883783344
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486121.9729099294;5638344.004733335
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486150.11779871926;5638306.045490202
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486181.00136539614;5638291.559404507
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486102.56516507425;5638331.929512882
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486691.9446387862;5638192.86307994
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486703.6968782402;5638410.265428204
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486695.7942266495;5638217.034436573
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486047.947943859;5638236.953396338
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486190.9283849642;5638092.934726362
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486711.2637673238;5638235.291336286
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486706.6091341235;5638310.551125741
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486213.1636741079;5638064.055689606
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486177.63729899947;5638070.025327586
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486664.02712856716;5638382.640704717
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486701.2867875756;5638321.376407022
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486328.2634000126;5638190.703750079
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486338.00947172823;5638191.367548531
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486271.9580525877;5638316.3108836375
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486348.19053196476;5638205.307795157
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486208.44012334826;5638186.622556748
