time_steps;Last_L;BHKW_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-06-30 01:00:00;174.68515498129923;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 02:00:00;232.30306187705068;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 03:00:00;187.212157637997;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 04:00:00;234.8008746565712;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 05:00:00;199.3535901704292;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 06:00:00;261.08350929980315;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 07:00:00;273.0715803438352;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 08:00:00;429.13475900128986;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 09:00:00;429.2789453397508;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 10:00:00;409.7246044172203;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 11:00:00;304.6641860760601;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 12:00:00;370.3775051122374;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 13:00:00;267.9870377236307;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 14:00:00;182.32267265143108;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 15:00:00;180.5129580124081;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 16:00:00;141.8143144012052;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 17:00:00;124.8070361938796;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 18:00:00;115.6056928741536;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 19:00:00;133.05924082482215;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 20:00:00;149.88370702259783;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 21:00:00;163.61290137052669;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 22:00:00;153.15803360940288;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-30 23:00:00;163.84115181616153;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 00:00:00;310.7721201257327;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 01:00:00;284.36310505152943;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 02:00:00;250.6117962560866;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 03:00:00;196.1504134578561;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 04:00:00;249.71731846774244;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 05:00:00;272.76786146535693;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 06:00:00;277.35457226642166;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 07:00:00;317.3494085283555;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 08:00:00;517.7475345704868;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 09:00:00;478.468498421818;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 10:00:00;441.14509384956233;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 11:00:00;463.58231042060265;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 12:00:00;340.0786991835918;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 13:00:00;309.88037549880687;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 14:00:00;238.3067841865387;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 15:00:00;190.7801200428873;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 16:00:00;124.18831562871306;100.0;0.0;57.89473684210526;57.89473684210526
2021-07-01 17:00:00;148.8143432389904;100.0;0.0;57.89473684210526;57.89473684210526
