;waerme_hast_ges_W_1;waerme_hast_ges_W_2;waerme_hast_ges_W_3;waerme_hast_ges_W_4;waerme_hast_ges_W_5;waerme_hast_ges_W_6;waerme_hast_ges_W_7;waerme_hast_ges_W_8;waerme_hast_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-05-11T04:00:00;14623.872923625606;14623.872923625606;80670.34041765775;29561.443417846494;14623.872923625606;14623.872923625606;73903.60854461626;14623.872923625606;60502.755313243295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T05:00:00;14623.872923625606;14623.872923625606;86190.7073124561;31584.36798667122;14623.872923625606;14623.872923625606;78960.91996667808;14623.872923625606;64643.03048434206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T06:00:00;14623.872923625606;14623.872923625606;98559.1242792827;36116.74328644305;14623.872923625606;14623.872923625606;90291.85821610766;14623.872923625606;73919.34320946204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T07:00:00;14623.872923625606;14623.872923625606;102666.4014766784;37621.84468856441;14623.872923625606;14623.872923625606;94054.61172141106;14623.872923625606;76999.8011075088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T08:00:00;14623.872923625606;14623.872923625606;177063.2447761969;64884.380860826706;14623.872923625606;14623.872923625606;162210.95215206683;14623.872923625606;132797.43358214767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T09:00:00;14623.872923625606;14623.872923625606;162311.20947364153;59478.534615022225;14623.872923625606;14623.872923625606;148696.33653755565;14623.872923625606;121733.40710523115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T10:00:00;14623.872923625606;14623.872923625606;181558.73342892295;66531.74137467972;14623.872923625606;14623.872923625606;166329.35343669937;14623.872923625606;136169.0500716922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T11:00:00;14623.872923625606;14623.872923625606;157691.49315520973;57785.65118541504;14623.872923625606;14623.872923625606;144464.12796353767;14623.872923625606;118268.6198664073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T12:00:00;14623.872923625606;14623.872923625606;114984.35095431207;42135.72630381113;14623.872923625606;14623.872923625606;105339.31575952783;14623.872923625606;86238.26321573406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T13:00:00;14623.872923625606;14623.872923625606;101820.1005040581;37311.71982498931;14623.872923625606;14623.872923625606;93279.29956247332;14623.872923625606;76365.07537804359;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T14:00:00;14623.872923625606;14623.872923625606;74653.06286003652;27356.4271860052;14623.872923625606;14623.872923625606;68391.06796501302;14623.872923625606;55989.79714502738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T15:00:00;14623.872923625606;14623.872923625606;58270.539445093505;21353.092670927617;14623.872923625606;14623.872923625606;53382.73167731906;14623.872923625606;43702.90458382013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T16:00:00;14623.872923625606;14623.872923625606;35490.291246305445;14623.872923625606;14623.872923625606;14623.872923625606;32513.319986279206;14623.872923625606;26617.718434729086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T17:00:00;14623.872923625606;14623.872923625606;28906.224963901826;14623.872923625606;14623.872923625606;14623.872923625606;26481.533648855282;14623.872923625606;21679.66872292637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T18:00:00;14623.872923625606;14623.872923625606;36918.90940192133;14623.872923625606;14623.872923625606;14623.872923625606;33822.10381421081;14623.872923625606;27689.182051441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T19:00:00;14623.872923625606;14623.872923625606;40447.75153087469;14821.976851325438;14623.872923625606;14623.872923625606;37054.94212831361;14623.872923625606;30335.813648156025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T20:00:00;14623.872923625606;14623.872923625606;46973.58609497876;17213.352519535252;14623.872923625606;14623.872923625606;43033.38129883815;14623.872923625606;35230.18957123408;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T21:00:00;14623.872923625606;14623.872923625606;47656.838256360286;17463.72855618304;14623.872923625606;14623.872923625606;43659.32139045761;14623.872923625606;35742.62869227021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T22:00:00;14623.872923625606;14623.872923625606;46864.88688748626;17173.519968250377;14623.872923625606;14623.872923625606;42933.799920625956;14623.872923625606;35148.66516561469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T23:00:00;14623.872923625606;14623.872923625606;53340.25396239738;19546.40195193507;14623.872923625606;14623.872923625606;48866.00487983769;14623.872923625606;40005.190471798036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T00:00:00;14623.872923625606;14623.872923625606;135421.2198841418;55256.1264816416;14623.872923625606;14623.872923625606;138140.31620410408;14623.872923625606;101565.91491310636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T01:00:00;14623.872923625606;14623.872923625606;117148.91424106654;47800.4497967854;14623.872923625606;14623.872923625606;119501.12449196356;14623.872923625606;87861.6856807999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T02:00:00;14623.872923625606;14623.872923625606;83784.77659867209;34186.82992911403;14623.872923625606;14623.872923625606;85467.07482278507;14623.872923625606;62838.582449004054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T03:00:00;14623.872923625606;14623.872923625606;88603.94303394796;36153.20174522605;14623.872923625606;14623.872923625606;90383.00436306516;14623.872923625606;66452.95727546098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T04:00:00;14623.872923625606;14623.872923625606;88013.66122194892;35912.34815897467;14623.872923625606;14623.872923625606;89780.87039743672;14623.872923625606;66010.24591646169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T05:00:00;14623.872923625606;14623.872923625606;93608.1231714922;38195.064983894474;14623.872923625606;14623.872923625606;95487.66245973624;14623.872923625606;70206.09237861916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-12T06:00:00;14623.872923625606;14623.872923625606;97925.10955775398;39956.53151021056;14623.872923625606;14623.872923625606;99891.32877552643;14623.872923625606;73443.83216831548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
