time_steps;Last_L;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-08-21 10:00:00;366.5913067352653;366.5913067352653;0.0;0.0;0.0
2021-08-21 11:00:00;304.06825068011216;304.06825068011216;0.0;0.0;0.0
2021-08-21 12:00:00;283.6836718890973;283.6836718890973;0.0;0.0;0.0
2021-08-21 13:00:00;207.2963030067424;207.2963030067424;0.0;0.0;0.0
2021-08-21 14:00:00;185.62427680522904;185.62427680522904;0.0;0.0;0.0
2021-08-21 15:00:00;194.44984145733653;194.44984145733653;0.0;0.0;0.0
2021-08-21 16:00:00;203.0877578044287;203.0877578044287;0.0;0.0;0.0
2021-08-21 17:00:00;182.6548852502092;182.6548852502092;0.0;0.0;0.0
2021-08-21 18:00:00;193.33080578616435;193.33080578616435;0.0;0.0;0.0
2021-08-21 19:00:00;209.88736170621505;209.88736170621505;0.0;0.0;0.0
2021-08-21 20:00:00;211.185748277038;211.185748277038;0.0;0.0;0.0
2021-08-21 21:00:00;206.27607871693573;206.27607871693573;0.0;0.0;0.0
2021-08-21 22:00:00;193.39458579376796;193.39458579376796;0.0;0.0;0.0
2021-08-21 23:00:00;175.36937637744882;175.36937637744882;0.0;0.0;0.0
2021-08-22 00:00:00;241.02099074272627;241.02099074272627;0.0;0.0;0.0
2021-08-22 01:00:00;222.7839575130447;222.7839575130447;0.0;0.0;0.0
2021-08-22 02:00:00;253.4831173314492;253.4831173314492;0.0;0.0;0.0
2021-08-22 03:00:00;249.2342881088684;249.2342881088684;0.0;0.0;0.0
2021-08-22 04:00:00;210.21003379979535;210.21003379979535;0.0;0.0;0.0
2021-08-22 05:00:00;261.1636662335518;261.1636662335518;0.0;0.0;0.0
2021-08-22 06:00:00;237.24388243030185;237.24388243030185;0.0;0.0;0.0
2021-08-22 07:00:00;282.60743933876176;282.60743933876176;0.0;0.0;0.0
2021-08-22 08:00:00;265.0599969966719;265.0599969966719;0.0;0.0;0.0
2021-08-22 09:00:00;228.21309094916003;228.21309094916003;0.0;0.0;0.0
2021-08-22 10:00:00;257.6493949352655;257.6493949352655;0.0;0.0;0.0
2021-08-22 11:00:00;261.410936119591;261.410936119591;0.0;0.0;0.0
2021-08-22 12:00:00;233.34774021583587;233.34774021583587;0.0;0.0;0.0
2021-08-22 13:00:00;242.63221926982607;242.63221926982607;0.0;0.0;0.0
2021-08-22 14:00:00;255.1541385069569;255.1541385069569;0.0;0.0;0.0
2021-08-22 15:00:00;284.93000236592104;284.93000236592104;0.0;0.0;0.0
2021-08-22 16:00:00;290.4516144880297;290.4516144880297;0.0;0.0;0.0
2021-08-22 17:00:00;218.130131963342;218.130131963342;0.0;0.0;0.0
2021-08-22 18:00:00;222.67697606003827;222.67697606003827;0.0;0.0;0.0
2021-08-22 19:00:00;197.8197625256392;197.8197625256392;0.0;0.0;0.0
2021-08-22 20:00:00;260.923889012102;260.923889012102;0.0;0.0;0.0
2021-08-22 21:00:00;246.1993276945065;246.1993276945065;0.0;0.0;0.0
2021-08-22 22:00:00;224.70960029252336;224.70960029252336;0.0;0.0;0.0
2021-08-22 23:00:00;254.0301353585344;254.0301353585344;0.0;0.0;0.0
2021-08-23 00:00:00;269.88554922799767;269.88554922799767;0.0;0.0;0.0
2021-08-23 01:00:00;298.07858460620804;298.07858460620804;0.0;0.0;0.0
2021-08-23 02:00:00;325.2757119030684;325.2757119030684;0.0;0.0;0.0
2021-08-23 03:00:00;319.62704830749925;319.62704830749925;0.0;0.0;0.0
2021-08-23 04:00:00;313.35874341711974;313.35874341711974;0.0;0.0;0.0
2021-08-23 05:00:00;291.8852819408295;291.8852819408295;0.0;0.0;0.0
2021-08-23 06:00:00;242.922725363844;242.922725363844;0.0;0.0;0.0
2021-08-23 07:00:00;302.0909039356601;302.0909039356601;0.0;0.0;0.0
2021-08-23 08:00:00;311.754388839332;311.754388839332;0.0;0.0;0.0
2021-08-23 09:00:00;321.9980448981143;321.9980448981143;0.0;0.0;0.0
2021-08-23 10:00:00;319.9322656817794;319.9322656817794;0.0;0.0;0.0
2021-08-23 11:00:00;277.6745151580995;277.6745151580995;0.0;0.0;0.0
2021-08-23 12:00:00;258.4637968328404;258.4637968328404;0.0;0.0;0.0
2021-08-23 13:00:00;236.51456064320223;236.51456064320223;0.0;0.0;0.0
2021-08-23 14:00:00;262.22072769640886;262.22072769640886;0.0;0.0;0.0
2021-08-23 15:00:00;237.0036528793256;237.0036528793256;0.0;0.0;0.0
2021-08-23 16:00:00;253.4259491925901;253.4259491925901;0.0;0.0;0.0
2021-08-23 17:00:00;237.6914351316956;237.6914351316956;0.0;0.0;0.0
2021-08-23 18:00:00;237.12592559502716;237.12592559502716;0.0;0.0;0.0
2021-08-23 19:00:00;256.4828330777123;256.4828330777123;0.0;0.0;0.0
2021-08-23 20:00:00;296.149235416354;296.149235416354;0.0;0.0;0.0
2021-08-23 21:00:00;274.2508858097285;274.2508858097285;0.0;0.0;0.0
2021-08-23 22:00:00;253.81873676868156;253.81873676868156;0.0;0.0;0.0
2021-08-23 23:00:00;246.47513081334404;246.47513081334404;0.0;0.0;0.0
2021-08-24 00:00:00;231.6035762338592;231.6035762338592;0.0;0.0;0.0
2021-08-24 01:00:00;237.4463770133045;237.4463770133045;0.0;0.0;0.0
2021-08-24 02:00:00;280.8729167749454;280.8729167749454;0.0;0.0;0.0
2021-08-24 03:00:00;242.26496673693944;242.26496673693944;0.0;0.0;0.0
2021-08-24 04:00:00;282.7119622996556;282.7119622996556;0.0;0.0;0.0
2021-08-24 05:00:00;232.1922866130152;232.1922866130152;0.0;0.0;0.0
2021-08-24 06:00:00;298.6552214324244;298.6552214324244;0.0;0.0;0.0
2021-08-24 07:00:00;314.7124608695761;314.7124608695761;0.0;0.0;0.0
2021-08-24 08:00:00;529.124505456192;529.124505456192;0.0;0.0;0.0
2021-08-24 09:00:00;494.88319584165953;494.88319584165953;0.0;0.0;0.0
2021-08-24 10:00:00;462.81805512383903;462.81805512383903;0.0;0.0;0.0
2021-08-24 11:00:00;397.1790288506778;397.1790288506778;0.0;0.0;0.0
2021-08-24 12:00:00;389.4300125450162;389.4300125450162;0.0;0.0;0.0
2021-08-24 13:00:00;331.37655343692865;331.37655343692865;0.0;0.0;0.0
2021-08-24 14:00:00;266.7018505652188;266.7018505652188;0.0;0.0;0.0
2021-08-24 15:00:00;216.5901486996534;216.5901486996534;0.0;0.0;0.0
2021-08-24 16:00:00;160.58695611033662;160.58695611033662;0.0;0.0;0.0
2021-08-24 17:00:00;159.60402021750798;159.60402021750798;0.0;0.0;0.0
2021-08-24 18:00:00;176.46231988555414;176.46231988555414;0.0;0.0;0.0
2021-08-24 19:00:00;172.63861596261304;172.63861596261304;0.0;0.0;0.0
2021-08-24 20:00:00;162.70499229278155;162.70499229278155;0.0;0.0;0.0
2021-08-24 21:00:00;168.1362981067873;168.1362981067873;0.0;0.0;0.0
2021-08-24 22:00:00;198.9677745754251;198.9677745754251;0.0;0.0;0.0
2021-08-24 23:00:00;188.9981373908765;188.9981373908765;0.0;0.0;0.0
2021-08-25 00:00:00;167.08453263074696;167.08453263074696;0.0;0.0;0.0
2021-08-25 01:00:00;214.34578325430945;214.34578325430945;0.0;0.0;0.0
2021-08-25 02:00:00;274.4747740027494;274.4747740027494;0.0;0.0;0.0
2021-08-25 03:00:00;290.3030313281168;290.3030313281168;0.0;0.0;0.0
2021-08-25 04:00:00;278.5111299594105;278.5111299594105;0.0;0.0;0.0
2021-08-25 05:00:00;212.13422138575288;212.13422138575288;0.0;0.0;0.0
2021-08-25 06:00:00;290.2143807960064;290.2143807960064;0.0;0.0;0.0
2021-08-25 07:00:00;302.6048970263558;302.6048970263558;0.0;0.0;0.0
2021-08-25 08:00:00;492.26427141069234;492.26427141069234;0.0;0.0;0.0
2021-08-25 09:00:00;509.4045877791469;509.4045877791469;0.0;0.0;0.0
