Building;Latitude;Longitude;Roof Area (m²);Slope (°);Orientation (°);Yield (MWh);Max Power (kW)
Emmerichstraße 70;51.147311213449015;14.99269834053658;119.9714049974382;5.263582100198319;2.5960929195004527;21.54;18.67
Sohrstraße 10;51.146890922435944;14.99110688352046;109.32357600354185;0.0;0.0;19.2;16.24
;51.14718401315192;14.99541136025424;186.13072699961617;38.03220421714292;-91.2464611555217;32.61;95.28
;51.14718401315192;14.99541136025424;178.94103549157555;141.857242908307;-91.59932704784188;8.68;90.86
;51.14718401315192;14.99541136025424;25.43171001130438;0.0;0.0;4.47;3.78
;51.14718401315192;14.99541136025424;30.753602497320717;35.55867444884924;-1.6949377242061963;5.7;5.45
Emmerichstraße 66;51.14671990768437;14.991351667717852;102.31736249519835;33.13313066069511;-84.26662524162901;18.5;46.84
Emmerichstraße 66;51.14671990768437;14.991351667717852;102.88059750232543;33.23839247667973;95.52647039815753;14.79;13.91
Sohrstraße 15;51.14761675533944;14.99153683652803;49.68591499959547;52.28478170812509;0.6263597747822541;8.63;8.61
Sohrstraße 15;51.14761675533944;14.99153683652803;52.3216890008454;53.1084959513962;179.86318869538778;5.35;8.16
Sohrstraße 15;51.14761675533944;14.99153683652803;122.65920000421525;0.0;0.0;21.55;18.22
Sohrstraße 15;51.14761675533944;14.99153683652803;12.75767600098937;0.0;-0.0;2.24;1.9
Emmerichstraße 65;51.14680851288544;14.991031709267427;42.450080001569226;6.093142403124134;5.74667618382812;7.64;6.64
Sohrstraße 5;51.14719693571497;14.991956408960096;51.88451550004112;93.39602577532033;-95.37884791509416;5.81;32.2
Sohrstraße 5;51.14719693571497;14.991956408960096;44.819512499024405;57.65865304656369;-177.95871459716423;4.33;8.74
Sohrstraße 5;51.14719693571497;14.991956408960096;118.63398399784538;0.0;0.0;20.84;17.62
Blumenstraße 37;51.147744500069344;14.993649576334759;176.71859999952446;0.0;0.0;31.04;26.25
Emmerichstraße 70;51.1471702671958;14.992780532977223;353.2844900099604;0.0;0.0;62.06;52.49
Emmerichstraße 70;51.1471702671958;14.992780532977223;48.44771000884231;6.4380653205081755;2.6273263703515584;8.74;7.61
Emmerichstraße 78;51.147122915649035;14.994454894645367;38.58112749903259;0.0;0.0;6.78;5.73
Sohrstraße 1;51.14772325329714;14.99194315908508;103.12565249750664;31.767954584914328;-179.49773302070426;14.0;12.29
Sohrstraße 1;51.14772325329714;14.99194315908508;119.65060250060255;29.714242040266683;4.403506258815633;22.12;20.94
Blumenstraße 32;51.14758944469713;14.994549229636439;196.83489003443637;0.0;-0.0;34.58;29.24
Blumenstraße 32;51.14758944469713;14.994549229636439;11.65901490974847;0.0;0.0;2.05;1.73
Blumenstraße 32;51.14758944469713;14.994549229636439;13.261092264865027;65.12501840042134;168.08192287258584;1.13;0.81
Blumenstraße 32;51.14758944469713;14.994549229636439;7.441734878475662;54.97079758001395;-9.018657494940602;1.3;1.29
Blumenstraße 32;51.14758944469713;14.994549229636439;87.49728160898988;0.0;0.0;15.37;13.0
Emmerichstraße 67;51.14677623310466;14.992198595943124;57.22171400691252;58.26178622395697;94.84152476466892;6.66;7.06
Emmerichstraße 67;51.14677623310466;14.992198595943124;48.9238830038186;57.42477682666239;-84.54584711529537;8.02;28.2
Emmerichstraße 67;51.14677623310466;14.992198595943124;110.70945799212694;180.0;0.0;3.24;3.34
Blumenstraße 36;51.147726231219686;14.993823057114726;169.99920000118362;0.0;0.0;29.86;25.26
Blumenstraße 41;51.147553568321804;14.992824578797244;44.87149999958836;0.0;180.0;7.88;6.67
Sohrstraße 10;51.14686967374058;14.991264014960901;89.7607450015644;0.0;0.0;15.77;13.34
James-von-Moltke-Straße 12;51.147394871159236;14.990665967825585;93.57927749626036;35.637231030622615;4.585790484559832;17.14;16.48
James-von-Moltke-Straße 12;51.147394871159236;14.990665967825585;87.2614440028185;34.93777477406206;-173.99547570241512;11.58;15.73
James-von-Moltke-Straße 12;51.147394871159236;14.990665967825585;53.890015020982815;13.491419484441293;95.3449171097347;8.86;7.76
Emmerichstraße 73;51.14691731175737;14.99345076565981;42.139749024404395;61.75820577114212;95.1244920043483;4.73;5.11
Emmerichstraße 73;51.14691731175737;14.99345076565981;42.11131000040908;62.39356730620773;-85.44589477656572;6.67;24.99
Emmerichstraße 73;51.14691731175737;14.99345076565981;135.1419320016053;0.0;0.0;23.74;20.08
Emmerichstraße 73;51.14691731175737;14.99345076565981;12.238873001460968;6.363495047686712;95.18107740482988;2.09;1.78
Emmerichstraße 73;51.14691731175737;14.99345076565981;12.931318023731144;0.0;0.0;2.27;1.92
James-von-Moltke-Straße 12;51.14726639373528;14.991027187487763;34.01759999777462;0.0;0.0;5.98;5.05
Blumenstraße 45;51.14787288544843;14.992117659763363;30.23244494457727;57.11937083057345;-97.13677052901986;4.72;17.61
Blumenstraße 45;51.14787288544843;14.992117659763363;29.391892000182935;59.366057530239615;80.27541637008085;3.6;3.92
