time_steps;Last_L;Solarthermie_1;BHKW_1;Holzgas-BHKW_1;Geothermie_1;Abwärmepumpe_1;Flusswärmepumpe_1;Biomassekessel_1;Gaskessel_1;Ungedeckter Bedarf;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-02-05 14:00:00;971.0442506054044;0.0;100.0;100.0;9.972445545993441;42.450199203187246;200.0;240.0;278.6216058562237;0.0;99.76409039829431;115.78947368421052;16.02538328591619
2021-02-05 15:00:00;760.3518967072731;0.0;100.0;100.0;9.993809041553822;42.5250501002004;200.0;240.0;67.83303756551885;0.0;100.11005553962059;115.78947368421052;15.679418144589931
2021-02-05 16:00:00;885.4881958295978;0.0;100.0;100.0;10.000979205583645;42.55020080321285;200.0;240.0;192.9370158208012;0.0;100.2259603245821;115.78947368421052;15.563513359628416
2021-02-05 17:00:00;670.4992617965798;0.0;100.0;100.0;10.029908250757087;42.65182186234818;200.0;217.81753168347456;0.0;0.0;100.69252786954014;115.78947368421052;15.096945814670363
2021-02-05 18:00:00;522.3453137670892;0.0;100.0;100.0;10.029908250757087;42.65182186234818;200.0;0.0;69.66358365398395;0.0;100.69252786954014;115.78947368421052;15.096945814670363
2021-02-05 19:00:00;524.9090774746746;0.0;100.0;100.0;10.044523620045176;42.70325203252033;200.0;72.16130182210912;0.0;0.0;100.92759831110116;115.78947368421052;14.86187537310937
2021-02-05 20:00:00;777.890970877004;0.0;100.0;100.0;10.081510498489017;42.83367556468172;200.0;240.0;84.97578481383323;0.0;101.52056787238561;115.78947368421052;14.268905811824908
2021-02-05 21:00:00;746.3327897585975;0.0;100.0;100.0;10.088985832469595;42.86008230452677;200.0;240.0;53.38372162160118;0.0;101.64007969823439;115.78947368421052;14.149393985976133
2021-02-05 22:00:00;734.0187538256605;0.0;100.0;100.0;10.081510498489017;42.83367556468172;200.0;240.0;41.103567762489774;0.0;101.52056787238561;115.78947368421052;14.268905811824908
2021-02-05 23:00:00;668.706116412733;0.0;100.0;100.0;10.07406133253872;42.807377049180346;200.0;215.8246780310139;0.0;0.0;101.4013637784899;115.78947368421052;14.388109905720626
2021-02-06 00:00:00;846.255789530912;0.0;100.0;100.0;10.088985832469595;42.86008230452677;200.0;240.0;153.30672139391572;0.0;101.64007969823439;115.78947368421052;14.149393985976133
2021-02-06 01:00:00;473.755170641363;0.0;100.0;100.0;10.088985832469595;42.86008230452677;200.0;0.0;20.806102504366663;0.0;101.64007969823439;115.78947368421052;14.149393985976133
2021-02-06 02:00:00;693.0696206640635;0.0;100.0;100.0;10.104015558016894;42.91322314049586;200.0;240.0;0.052381965550694076;0.0;101.88003189643115;115.78947368421052;13.909441787779357
2021-02-06 03:00:00;655.2363699226487;0.0;100.0;100.0;10.119151625961942;42.9668049792531;200.0;202.15041331743367;0.0;0.0;102.12123116134828;115.78947368421052;13.668242522862258
2021-02-06 04:00:00;559.3247813523864;0.0;100.0;100.0;10.142057601933315;43.04801670146137;200.0;106.13470704899169;0.0;0.0;102.48539225556986;115.78947368421052;13.304081428640643
2021-02-06 05:00:00;738.3277603469885;0.0;100.0;100.0;10.165209291592102;43.13025210084033;200.0;240.0;45.0322989545561;0.0;102.85242136808422;115.78947368421052;12.937052316126284
2021-02-06 06:00:00;832.3594052774814;0.0;100.0;100.0;10.204352306679674;43.26963906581741;200.0;240.0;138.88541390498438;0.0;103.4706141373415;115.78947368421052;12.318859546869021
2021-02-06 07:00:00;904.4796095166708;0.0;100.0;100.0;10.188610669935052;43.21353065539112;200.0;240.0;211.07746819134468;0.0;103.22235673878232;115.78947368421052;12.56711694542821
2021-02-06 08:00:00;1063.1218334343705;0.0;100.0;100.0;10.188610669935052;43.21353065539112;200.0;240.0;369.71969210904433;0.0;103.22235673878232;115.78947368421052;12.56711694542821
2021-02-06 09:00:00;802.6064781417873;0.0;100.0;100.0;10.134395168945652;43.02083333333333;200.0;240.0;109.45124963950832;0.0;102.36368842217074;115.78947368421052;13.425785262039781
2021-02-06 10:00:00;827.5804178770495;0.0;100.0;100.0;10.07406133253872;42.807377049180346;200.0;240.0;134.6989794953305;0.0;101.4013637784899;115.78947368421052;14.388109905720626
2021-02-06 11:00:00;995.1687431302092;0.0;100.0;100.0;10.037203255786364;42.677484787018265;200.0;240.0;302.45405508740464;0.0;100.80991314208138;115.78947368421052;14.979560542129121
2021-02-06 12:00:00;690.9218091582097;0.0;100.0;100.0;10.000979205583645;42.55020080321285;200.0;238.37062914941322;0.0;0.0;100.2259603245821;115.78947368421052;15.563513359628416
2021-02-06 13:00:00;209.2467724039862;0.0;100.0;100.0;9.2467724039862;0.0;0.0;0.0;0.0;0.0;3.8336535671584566;115.78947368421052;111.95582011705207
2021-02-06 14:00:00;184.47673859630692;0.0;100.0;84.47673859630692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106.80232234523032;106.80232234523032
2021-02-06 15:00:00;437.2685583659984;0.0;100.0;100.0;10.015393793109652;42.600806451612904;184.65235812127585;0.0;0.0;0.0;100.45865191392453;115.78947368421052;15.330821770285993
2021-02-06 16:00:00;480.0837748877091;0.0;100.0;100.0;10.059240957025972;42.75510204081633;200.0;0.0;27.269431889866837;0.0;101.16387348737612;115.78947368421052;14.625600196834398
2021-02-06 17:00:00;468.31112740265183;0.0;100.0;100.0;10.142057601933315;43.04801670146137;200.0;0.0;15.121053099257182;0.0;102.48539225556986;115.78947368421052;13.304081428640643
2021-02-06 18:00:00;593.4631449124116;0.0;100.0;100.0;10.15746451656645;43.102725366876314;200.0;140.20295502896886;0.0;0.0;102.72975731696435;115.78947368421052;13.059716367246168
2021-02-06 19:00:00;420.85587390365816;0.0;100.0;100.0;10.188610669935052;43.21353065539112;167.453732578332;0.0;0.0;0.0;103.22235673878232;115.78947368421052;12.56711694542821
2021-02-06 20:00:00;406.7992617141863;0.0;100.0;100.0;10.204352306679674;43.26963906581741;153.3252703416892;0.0;0.0;0.0;103.4706141373415;115.78947368421052;12.318859546869021
2021-02-06 21:00:00;700.153859594314;0.0;100.0;100.0;10.196467315165034;43.24152542372882;200.0;240.0;6.715866855420131;0.0;103.34632108352179;115.78947368421052;12.44315260068872
2021-02-06 22:00:00;655.8129417945571;0.0;100.0;100.0;10.196467315165034;43.24152542372882;200.0;202.37494905566325;0.0;0.0;103.34632108352179;115.78947368421052;12.44315260068872
2021-02-06 23:00:00;482.7885553165507;0.0;100.0;100.0;10.220207944414602;43.326226012793185;200.0;0.0;29.24212135934289;0.0;103.72019227716139;115.78947368421052;12.069281407049132
2021-02-07 00:00:00;679.5563888469368;0.0;100.0;100.0;10.204352306679674;43.26963906581741;200.0;226.08239747443974;0.0;0.0;103.4706141373415;115.78947368421052;12.318859546869021
2021-02-07 01:00:00;535.5372470556014;0.0;100.0;100.0;10.220207944414602;43.326226012793185;200.0;81.99081309839357;0.0;0.0;103.72019227716139;115.78947368421052;12.069281407049132
2021-02-07 02:00:00;409.43395535641287;0.0;100.0;100.0;10.244207876653547;43.412017167381975;155.77773031237734;0.0;0.0;0.0;104.09706197270188;115.78947368421052;11.69241171150864
2021-02-07 03:00:00;651.9036806646856;0.0;100.0;100.0;10.26847138349914;43.498920086393106;200.0;198.13628919479328;0.0;0.0;104.47697104844713;115.78947368421052;11.312502635763394
2021-02-07 04:00:00;1271.5055330708667;0.0;100.0;100.0;10.309508184896444;43.64380571220665;200.0;240.0;577.5522191737635;0.0;105.1145382212952;115.78947368421052;10.674935462915315
2021-02-07 05:00:00;574.8269571505423;0.0;100.0;100.0;10.326135951890311;43.68862931191823;200.0;120.81219188673373;0.0;0.0;105.35797029513401;115.78947368421052;10.43150338907651
2021-02-07 06:00:00;746.1045073378147;0.0;100.0;100.0;10.34288749878736;43.73374839772935;200.0;240.0;52.02787144129792;0.0;105.60258465680839;115.78947368421052;10.186889027402117
2021-02-07 07:00:00;634.0351721915871;0.0;100.0;100.0;10.359764212909042;43.77916590115744;200.0;179.89624207752058;0.0;0.0;105.84839043411833;115.78947368421052;9.941083250092191
2021-02-07 08:00:00;771.6712189084136;0.0;100.0;100.0;10.260353994282417;43.46982758620688;200.0;240.0;77.94103732792428;0.0;104.34999442329296;115.78947368421052;11.43947926091758
2021-02-07 09:00:00;814.9647779187549;0.0;100.0;100.0;10.142057601933315;43.04801670146137;200.0;240.0;121.77470361536018;0.0;102.48539225556986;115.78947368421052;13.304081428640643
2021-02-07 10:00:00;850.3120883744951;0.0;100.0;100.0;10.081510498489017;42.83367556468172;200.0;240.0;157.39690231132442;0.0;101.52056787238561;115.78947368421052;14.268905811824908
2021-02-07 11:00:00;827.082222471114;0.0;100.0;100.0;10.029908250757087;42.65182186234818;200.0;240.0;134.40049235800882;0.0;100.69252786954014;115.78947368421052;15.096945814670363
2021-02-07 12:00:00;689.5643687715437;0.0;100.0;100.0;10.008174080115582;42.57545271629779;200.0;236.9807419751304;0.0;0.0;100.34215870096665;115.78947368421052;15.44731498324387
2021-02-07 13:00:00;806.1140206310522;0.0;100.0;100.0;10.029908250757087;42.65182186234818;200.0;240.0;113.43229051794697;0.0;100.69252786954014;115.78947368421052;15.096945814670363
